"homeTeam","awayTeam","homeScore","awayScore","date","gameID","playoff","season","winner","loser","MOV","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo","homeWinPct","awayWinPct","drawPct","expectedWinner","correct"
"Lions","FlameThrowers",16,19,2014-05-10,"2014-05-10-SF-SLC",FALSE,"2014","FlameThrowers","Lions",3,1238.51484222211,1502.95287681076,1226.82646755711,1514.69387544661,0.278945336739619,0.719798781951954,0.00125588130842735,"FlameThrowers",TRUE
"Empire","Phoenix",20,10,2014-05-10,"2014-05-10-PHI-NY",FALSE,"2014","Empire","Phoenix",10,1429.37618309125,1319.45206047104,1445.80327272975,1303.10365433173,0.769466759627148,0.229429017870168,0.00110422250268433,"Empire",TRUE
"AlleyCats","Wind Chill",25,24,2014-05-10,"2014-05-10-MIN-IND",FALSE,"2014","AlleyCats","Wind Chill",1,1413.21383058801,1408.42604493498,1420.54684802552,1401.12252368043,0.645676733532699,0.352898043632855,0.00142522283444591,"AlleyCats",TRUE
"Mechanix","Revolution",15,20,2014-05-10,"2014-05-10-CIN-DET",FALSE,"2014","Revolution","Mechanix",5,1245.36086198967,1360.70120641108,1219.69428909638,1386.45146685547,0.477159952376004,0.521284236177609,0.00155581144638672,"Revolution",TRUE
"Cascades","Spiders",14,23,2014-05-11,"2014-05-11-SJ-SEA",FALSE,"2014","Spiders","Cascades",9,1329.4063064345,1516.22194056445,1303.27013522545,1542.45974102594,0.376866760744863,0.621667810870165,0.00146542838497277,"Spiders",TRUE
"Revolution","AlleyCats",20,24,2014-05-16,"2014-05-16-IND-CIN",FALSE,"2014","AlleyCats","Revolution",4,1386.45146685547,1420.54684802552,1357.90649258382,1449.16422685756,0.592970693190804,0.405525231802766,0.00150407500642974,"Revolution",FALSE
"Riptide","Lions",40,28,2014-05-17,"2014-05-17-SLC-VAN",FALSE,"2014","Riptide","Lions",12,1413.97160005653,1226.82646755711,1426.21078791461,1214.6511635873,0.838867067271323,0.160291880332779,0.000841052395898517,"Riptide",TRUE
"FlameThrowers","Spiders",22,21,2014-05-17,"2014-05-17-SJ-SF",FALSE,"2014","FlameThrowers","Spiders",1,1514.69387544661,1542.45974102594,1522.94848095607,1534.23608744759,0.601734010528029,0.396772629013213,0.00149336045875814,"FlameThrowers",TRUE
"Dragons","Empire",13,24,2014-05-17,"2014-05-17-NY-ROC",FALSE,"2014","Empire","Dragons",11,1312.36807936179,1445.80327272975,1278.67680030893,1479.60986508164,0.451258744770788,0.547196756592069,0.00154449863714357,"Empire",TRUE
"AlleyCats","Mechanix",30,22,2014-05-17,"2014-05-17-DET-IND",FALSE,"2014","AlleyCats","Mechanix",8,1449.16422685756,1219.69428909638,1457.66217031125,1211.24229424666,0.869149957826411,0.130142532550738,0.000707509622850183,"AlleyCats",TRUE
"Wind Chill","Union",20,31,2014-05-17,"2014-05-17-CHI-MIN",FALSE,"2014","Union","Wind Chill",11,1401.12252368043,1439.66308022866,1357.50155130227,1483.39638464485,0.586780358033998,0.41170857447044,0.00151106749556146,"Wind Chill",FALSE
