homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Aviators,Shred,22,25,4/30/2022,2022-04-30-SLC-LA,FALSE,2022
Mechanix,Thunderbirds,13,17,4/30/2022,2022-04-30-PIT-DET,FALSE,2022
Glory,Phoenix,25,24,4/30/2022,2022-04-30-PHI-BOS,FALSE,2022
Breeze,Empire,19,22,4/30/2022,2022-04-30-NY-DC,FALSE,2022
Rush,Royal,19,26,4/30/2022,2022-04-30-MTL-TOR,FALSE,2022
Legion,Sol,17,20,4/30/2022,2022-04-30-ATX-DAL,FALSE,2022
Nitro,Cascades,29,24,5/1/2022,2022-05-01-SEA-POR,FALSE,2022
Union,Thunderbirds,19,8,5/1/2022,2022-05-01-PIT-CHI,FALSE,2022
Outlaws,Glory,21,19,5/6/2022,2022-05-06-BOS-OTT,FALSE,2022
Spiders,Growlers,16,18,5/7/2022,2022-05-07-SD-OAK,FALSE,2022
Radicals,Thunderbirds,18,16,5/7/2022,2022-05-07-PIT-MAD,FALSE,2022
Empire,Phoenix,17,15,5/7/2022,2022-05-07-PHI-NY,FALSE,2022
AlleyCats,Mechanix,33,22,5/7/2022,2022-05-07-DET-IND,FALSE,2022
Cascades,Summit,16,19,5/7/2022,2022-05-07-COL-SEA,FALSE,2022
Wind Chill,Union,21,24,5/7/2022,2022-05-07-CHI-MIN,FALSE,2022
Cannons,Flyers,13,19,5/7/2022,2022-05-07-CAR-TB,FALSE,2022
Royal,Glory,21,17,5/7/2022,2022-05-07-BOS-MTL,FALSE,2022
Nitro,Summit,23,24,5/8/2022,2022-05-08-COL-POR,FALSE,2022
Shred,Cascades,32,21,5/13/2022,2022-05-13-SEA-SLC,FALSE,2022
Phoenix,Royal,17,18,5/13/2022,2022-05-13-MTL-PHI,FALSE,2022
Sol,Legion,24,17,5/13/2022,2022-05-13-DAL-ATX,FALSE,2022
Flyers,Cannons,24,18,5/14/2022,2022-05-14-TB-CAR,FALSE,2022
Rush,Outlaws,29,26,5/14/2022,2022-05-14-OTT-TOR,FALSE,2022
Glory,Empire,19,23,5/14/2022,2022-05-14-NY-BOS,FALSE,2022
Breeze,Royal,27,17,5/14/2022,2022-05-14-MTL-DC,FALSE,2022
Legion,Wind Chill,14,20,5/14/2022,2022-05-14-MIN-DAL,FALSE,2022
AlleyCats,Radicals,22,23,5/14/2022,2022-05-14-MAD-IND,FALSE,2022
Growlers,Aviators,22,17,5/14/2022,2022-05-14-LA-SD,FALSE,2022
Glory,Rush,23,13,5/20/2022,2022-05-20-TOR-BOS,FALSE,2022
Royal,Phoenix,13,19,5/20/2022,2022-05-20-PHI-MTL,FALSE,2022
Flyers,Sol,27,24,5/20/2022,2022-05-20-ATX-CAR,FALSE,2022
Empire,Rush,31,17,5/21/2022,2022-05-21-TOR-NY,FALSE,2022
Growlers,Cascades,22,20,5/21/2022,2022-05-21-SEA-SD,FALSE,2022
Spiders,Nitro,22,26,5/21/2022,2022-05-21-POR-OAK,FALSE,2022
Outlaws,Phoenix,22,23,5/21/2022,2022-05-21-PHI-OTT,FALSE,2022
Mechanix,Radicals,18,27,5/21/2022,2022-05-21-MAD-DET,FALSE,2022
Thunderbirds,AlleyCats,16,20,5/21/2022,2022-05-21-IND-PIT,FALSE,2022
Hustle,Sol,26,21,5/21/2022,2022-05-21-ATX-ATL,FALSE,2022
Aviators,Cascades,19,18,5/22/2022,2022-05-22-SEA-LA,FALSE,2022
Royal,Empire,18,22,5/27/2022,2022-05-27-NY-MTL,FALSE,2022
Summit,Shred,21,20,5/28/2022,2022-05-28-SLC-COL,FALSE,2022
Cascades,Nitro,26,18,5/28/2022,2022-05-28-POR-SEA,FALSE,2022
Cannons,Thunderbirds,19,24,5/28/2022,2022-05-28-PIT-TB,FALSE,2022
Outlaws,Empire,18,30,5/28/2022,2022-05-28-NY-OTT,FALSE,2022
Radicals,Wind Chill,16,19,5/28/2022,2022-05-28-MIN-MAD,FALSE,2022
Mechanix,AlleyCats,19,23,5/28/2022,2022-05-28-IND-DET,FALSE,2022
Rush,Breeze,26,27,5/28/2022,2022-05-28-DC-TOR,FALSE,2022
Outlaws,Royal,21,24,6/1/2022,2022-06-01-MTL-OTT,FALSE,2022
Shred,Spiders,30,21,6/3/2022,2022-06-03-OAK-SLC,FALSE,2022
Thunderbirds,Radicals,19,20,6/3/2022,2022-06-03-MAD-PIT,FALSE,2022
Legion,Flyers,18,26,6/3/2022,2022-06-03-CAR-DAL,FALSE,2022
Breeze,Glory,25,20,6/3/2022,2022-06-03-BOS-DC,FALSE,2022
Summit,Spiders,22,16,6/4/2022,2022-06-04-OAK-COL,FALSE,2022
Rush,Empire,8,25,6/4/2022,2022-06-04-NY-TOR,FALSE,2022
Nitro,Aviators,20,21,6/4/2022,2022-06-04-LA-POR,FALSE,2022
Wind Chill,AlleyCats,28,13,6/4/2022,2022-06-04-IND-MIN,FALSE,2022
Mechanix,Union,20,28,6/4/2022,2022-06-04-CHI-DET,FALSE,2022
Sol,Flyers,21,20,6/4/2022,2022-06-04-CAR-ATX,FALSE,2022
Phoenix,Glory,24,22,6/4/2022,2022-06-04-BOS-PHI,FALSE,2022
Cannons,Hustle,16,18,6/4/2022,2022-06-04-ATL-TB,FALSE,2022
Cascades,Aviators,23,14,6/5/2022,2022-06-05-LA-SEA,FALSE,2022
Aviators,Nitro,17,16,6/10/2022,2022-06-10-POR-LA,FALSE,2022
Union,Radicals,22,21,6/10/2022,2022-06-10-MAD-CHI,FALSE,2022
Empire,Breeze,25,21,6/10/2022,2022-06-10-DC-NY,FALSE,2022
Shred,Summit,20,25,6/10/2022,2022-06-10-COL-SLC,FALSE,2022
Royal,Rush,20,21,6/11/2022,2022-06-11-TOR-MTL,FALSE,2022
Hustle,Cannons,23,18,6/11/2022,2022-06-11-TB-ATL,FALSE,2022
Growlers,Nitro,20,18,6/11/2022,2022-06-11-POR-SD,FALSE,2022
Wind Chill,Thunderbirds,20,14,6/11/2022,2022-06-11-PIT-MIN,FALSE,2022
AlleyCats,Mechanix,32,18,6/11/2022,2022-06-11-DET-IND,FALSE,2022
Flyers,Legion,23,15,6/11/2022,2022-06-11-DAL-CAR,FALSE,2022
Spiders,Summit,24,29,6/11/2022,2022-06-11-COL-OAK,FALSE,2022
Phoenix,Rush,18,14,6/17/2022,2022-06-17-TOR-PHI,FALSE,2022
Spiders,Cascades,20,19,6/17/2022,2022-06-17-SEA-OAK,FALSE,2022
Glory,Outlaws,19,18,6/17/2022,2022-06-17-OTT-BOS,FALSE,2022
Hustle,Flyers,18,22,6/17/2022,2022-06-17-CAR-ATL,FALSE,2022
Union,Sol,24,21,6/17/2022,2022-06-17-ATX-CHI,FALSE,2022
Breeze,Rush,26,16,6/18/2022,2022-06-18-TOR-DC,FALSE,2022
Summit,Cascades,22,14,6/18/2022,2022-06-18-SEA-COL,FALSE,2022
Aviators,Growlers,19,20,6/18/2022,2022-06-18-SD-LA,FALSE,2022
Empire,Outlaws,21,15,6/18/2022,2022-06-18-OTT-NY,FALSE,2022
