homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
FlameThrowers,Growlers,18,21,5/16/2015,2015-05-16-SD-SF,FALSE,2015
Breeze,Empire,18,22,5/16/2015,2015-05-16-NY-DC,FALSE,2015
Express,Nightwatch,29,26,5/16/2015,2015-05-16-NSH-CHA,FALSE,2015
Outlaws,Royal,25,24,5/16/2015,2015-05-16-MTL-OTT,FALSE,2015
Riptide,Aviators,27,24,5/16/2015,2015-05-16-LA-VAN,FALSE,2015
AlleyCats,Revolution,27,18,5/16/2015,2015-05-16-CIN-IND,FALSE,2015
Wind Chill,Union,12,12,5/16/2015,2015-05-16-CHI-MIN,FALSE,2015
Cannons,Hustle,26,22,5/16/2015,2015-05-16-ATL-JAX,FALSE,2015
Flyers,Nightwatch,33,22,5/17/2015,2015-05-17-NSH-RAL,FALSE,2015
Cascades,Aviators,29,19,5/17/2015,2015-05-17-LA-SEA,FALSE,2015
Radicals,Wind Chill,27,10,5/22/2015,2015-05-22-MIN-MAD,FALSE,2015
Cascades,Riptide,34,27,5/23/2015,2015-05-23-VAN-SEA,FALSE,2015
Growlers,FlameThrowers,25,27,5/23/2015,2015-05-23-SF-SD,FALSE,2015
Express,Flyers,18,27,5/23/2015,2015-05-23-RAL-CHA,FALSE,2015
Royal,Empire,20,17,5/23/2015,2015-05-23-NY-MTL,FALSE,2015
Union,Wind Chill,25,15,5/23/2015,2015-05-23-MIN-CHI,FALSE,2015
Rush,Breeze,33,21,5/23/2015,2015-05-23-DC-TOR,FALSE,2015
Mechanix,Revolution,25,29,5/23/2015,2015-05-23-CIN-DET,FALSE,2015
Riptide,Spiders,31,24,5/24/2015,2015-05-24-SJ-VAN,FALSE,2015
Aviators,FlameThrowers,23,22,5/24/2015,2015-05-24-SF-LA,FALSE,2015
Outlaws,Empire,17,22,5/24/2015,2015-05-24-NY-OTT,FALSE,2015
Dragons,Breeze,25,26,5/24/2015,2015-05-24-DC-ROC,FALSE,2015
Hustle,Express,26,18,5/29/2015,2015-05-29-CHA-ATL,FALSE,2015
Empire,Dragons,27,16,5/30/2015,2015-05-30-ROC-NY,FALSE,2015
Cannons,Flyers,27,29,5/30/2015,2015-05-30-RAL-JAX,FALSE,2015
Outlaws,Phoenix,28,18,5/30/2015,2015-05-30-PHI-OTT,FALSE,2015
Wind Chill,Radicals,18,23,5/30/2015,2015-05-30-MAD-MIN,FALSE,2015
Spiders,Aviators,27,19,5/30/2015,2015-05-30-LA-SJ,FALSE,2015
Thunderbirds,Mechanix,44,20,5/30/2015,2015-05-30-DET-PIT,FALSE,2015
Royal,Phoenix,25,16,5/31/2015,2015-05-31-PHI-MTL,FALSE,2015
FlameThrowers,Aviators,24,17,5/31/2015,2015-05-31-LA-SF,FALSE,2015
Hustle,Flyers,24,20,6/5/2015,2015-06-05-RAL-ATL,FALSE,2015
Union,Revolution,28,10,6/5/2015,2015-06-05-CIN-CHI,FALSE,2015
Empire,Rush,16,18,6/6/2015,2015-06-06-TOR-NY,FALSE,2015
Spiders,FlameThrowers,17,18,6/6/2015,2015-06-06-SF-SJ,FALSE,2015
Aviators,Growlers,19,20,6/6/2015,2015-06-06-SD-LA,FALSE,2015
Royal,Dragons,21,19,6/6/2015,2015-06-06-ROC-MTL,FALSE,2015
Nightwatch,Flyers,21,27,6/6/2015,2015-06-06-RAL-NSH,FALSE,2015
Thunderbirds,Radicals,26,22,6/6/2015,2015-06-06-MAD-PIT,FALSE,2015
AlleyCats,Mechanix,29,21,6/6/2015,2015-06-06-DET-IND,FALSE,2015
Phoenix,Breeze,20,26,6/6/2015,2015-06-06-DC-PHI,FALSE,2015
Wind Chill,Revolution,25,17,6/6/2015,2015-06-06-CIN-MIN,FALSE,2015
Cannons,Express,26,12,6/6/2015,2015-06-06-CHA-JAX,FALSE,2015
Outlaws,Dragons,27,18,6/7/2015,2015-06-07-ROC-OTT,FALSE,2015
Mechanix,Radicals,13,27,6/7/2015,2015-06-07-MAD-DET,FALSE,2015
Union,Thunderbirds,19,16,6/12/2015,2015-06-12-PIT-CHI,FALSE,2015
Wind Chill,Radicals,19,31,6/12/2015,2015-06-12-MAD-MIN,FALSE,2015
Riptide,Spiders,23,26,6/13/2015,2015-06-13-SJ-VAN,FALSE,2015
Mechanix,Thunderbirds,21,34,6/13/2015,2015-06-13-PIT-DET,FALSE,2015
Rush,Phoenix,37,17,6/13/2015,2015-06-13-PHI-TOR,FALSE,2015
Royal,Outlaws,22,33,6/13/2015,2015-06-13-OTT-MTL,FALSE,2015
Express,Cannons,17,18,6/13/2015,2015-06-13-JAX-CHA,FALSE,2015
Cascades,Spiders,25,23,6/14/2015,2015-06-14-SJ-SEA,FALSE,2015
Dragons,Phoenix,19,18,6/14/2015,2015-06-14-PHI-ROC,FALSE,2015
Flyers,Cannons,26,28,6/14/2015,2015-06-14-JAX-RAL,FALSE,2015
Nightwatch,Hustle,21,25,6/14/2015,2015-06-14-ATL-NSH,FALSE,2015
Union,Radicals,22,23,6/19/2015,2015-06-19-MAD-CHI,FALSE,2015
Growlers,Riptide,32,28,6/20/2015,2015-06-20-VAN-SD,FALSE,2015
Spiders,Cascades,35,28,6/20/2015,2015-06-20-SEA-SJ,FALSE,2015
Express,Flyers,21,24,6/20/2015,2015-06-20-RAL-CHA,FALSE,2015
Revolution,Thunderbirds,19,25,6/20/2015,2015-06-20-PIT-CIN,FALSE,2015
Breeze,Empire,7,8,6/20/2015,2015-06-20-NY-DC,FALSE,2015
Rush,Royal,24,18,6/20/2015,2015-06-20-MTL-TOR,FALSE,2015
Radicals,Union,24,16,6/20/2015,2015-06-20-CHI-MAD,FALSE,2015
Cannons,Hustle,29,27,6/20/2015,2015-06-20-ATL-JAX,FALSE,2015
Aviators,Riptide,27,20,6/21/2015,2015-06-21-VAN-LA,FALSE,2015
FlameThrowers,Cascades,25,21,6/21/2015,2015-06-21-SEA-SF,FALSE,2015
Dragons,Royal,21,24,6/21/2015,2015-06-21-MTL-ROC,FALSE,2015
Empire,Breeze,21,13,6/21/2015,2015-06-21-DC-NY,FALSE,2015
Dragons,Royal,17,23,6/22/2015,2015-06-22-MTL-ROC,FALSE,2015
Riptide,FlameThrowers,19,22,6/27/2015,2015-06-27-SF-VAN,FALSE,2015
Rush,Dragons,27,10,6/27/2015,2015-06-27-ROC-TOR,FALSE,2015
Royal,Outlaws,25,29,6/27/2015,2015-06-27-OTT-MTL,FALSE,2015
Flyers,Nightwatch,20,15,6/27/2015,2015-06-27-NSH-RAL,FALSE,2015
Revolution,Wind Chill,17,21,6/27/2015,2015-06-27-MIN-CIN,FALSE,2015
Mechanix,Union,11,21,6/27/2015,2015-06-27-CHI-DET,FALSE,2015
Express,Hustle,13,26,6/27/2015,2015-06-27-ATL-CHA,FALSE,2015
Cascades,FlameThrowers,27,17,6/28/2015,2015-06-28-SF-SEA,FALSE,2015
Empire,Phoenix,24,13,6/28/2015,2015-06-28-PHI-NY,FALSE,2015
AlleyCats,Wind Chill,21,25,6/28/2015,2015-06-28-MIN-IND,FALSE,2015
Thunderbirds,Union,27,26,6/28/2015,2015-06-28-CHI-PIT,FALSE,2015
Dragons,Empire,19,25,7/3/2015,2015-07-03-NY-ROC,FALSE,2015
Hustle,Cannons,21,24,7/4/2015,2015-07-04-JAX-ATL,FALSE,2015
Outlaws,Breeze,25,26,7/4/2015,2015-07-04-DC-OTT,FALSE,2015
Royal,Breeze,25,21,7/5/2015,2015-07-05-DC-MTL,FALSE,2015
Breeze,Phoenix,27,12,7/10/2015,2015-07-10-PHI-DC,FALSE,2015
Thunderbirds,Mechanix,42,16,7/10/2015,2015-07-10-DET-PIT,FALSE,2015
Breeze,Dragons,27,19,7/11/2015,2015-07-11-ROC-DC,FALSE,2015
Revolution,Thunderbirds,27,33,7/11/2015,2015-07-11-PIT-CIN,FALSE,2015
Cannons,Nightwatch,29,27,7/11/2015,2015-07-11-NSH-JAX,FALSE,2015
Growlers,Aviators,23,22,7/11/2015,2015-07-11-LA-SD,FALSE,2015
Wind Chill,AlleyCats,22,21,7/11/2015,2015-07-11-IND-MIN,FALSE,2015
Flyers,Express,26,23,7/11/2015,2015-07-11-CHA-RAL,FALSE,2015
Phoenix,Dragons,26,16,7/12/2015,2015-07-12-ROC-PHI,FALSE,2015
Hustle,Nightwatch,28,18,7/12/2015,2015-07-12-NSH-ATL,FALSE,2015
Radicals,AlleyCats,25,24,7/12/2015,2015-07-12-IND-MAD,FALSE,2015
Rush,Dragons,39,17,7/16/2015,2015-07-16-ROC-TOR,FALSE,2015
Wind Chill,Mechanix,45,11,7/17/2015,2015-07-17-DET-MIN,FALSE,2015
Radicals,Revolution,39,19,7/17/2015,2015-07-17-CIN-MAD,FALSE,2015
Cascades,Riptide,30,17,7/18/2015,2015-07-18-VAN-SEA,FALSE,2015
Outlaws,Rush,26,30,7/18/2015,2015-07-18-TOR-OTT,FALSE,2015
FlameThrowers,Spiders,32,18,7/18/2015,2015-07-18-SJ-SF,FALSE,2015
Aviators,Growlers,21,16,7/18/2015,2015-07-18-SD-LA,FALSE,2015
Phoenix,Empire,17,20,7/18/2015,2015-07-18-NY-PHI,FALSE,2015
Thunderbirds,AlleyCats,29,25,7/18/2015,2015-07-18-IND-PIT,FALSE,2015
Nightwatch,Express,22,19,7/18/2015,2015-07-18-CHA-NSH,FALSE,2015
Riptide,Cascades,26,24,7/19/2015,2015-07-19-SEA-VAN,FALSE,2015
Rush,Outlaws,25,19,7/19/2015,2015-07-19-OTT-TOR,FALSE,2015
Growlers,Aviators,21,15,7/19/2015,2015-07-19-LA-SD,FALSE,2015
Union,Mechanix,28,12,7/19/2015,2015-07-19-DET-CHI,FALSE,2015
Nightwatch,Express,17,18,7/19/2015,2015-07-19-CHA-NSH,FALSE,2015
Royal,Empire,20,33,7/24/2015,2015-07-24-NY-MTL,TRUE,2015
FlameThrowers,Cascades,19,21,7/25/2015,2015-07-25-SEA-SF,TRUE,2015
Radicals,Thunderbirds,24,21,7/25/2015,2015-07-25-PIT-MAD,TRUE,2015
Rush,Empire,25,19,7/25/2015,2015-07-25-NY-TOR,TRUE,2015
Flyers,Cannons,28,27,7/25/2015,2015-07-25-JAX-RAL,TRUE,2015
Thunderbirds,Union,24,23,7/25/2015,2015-07-25-CHI-PIT,TRUE,2015
Spiders,Cascades,21,19,7/26/2015,2015-07-26-SEA-SJ,TRUE,2015
Spiders,Rush,25,20,8/8/2015,2015-08-08-TOR-SJ,TRUE,2015
Radicals,Flyers,22,19,8/8/2015,2015-08-08-RAL-MAD,TRUE,2015
Spiders,Radicals,17,15,8/9/2015,2015-08-09-MAD-SJ,TRUE,2015
Cascades,Riptide,25,21,4/2/2016,2016-04-02-VAN-SEA,FALSE,2016
Growlers,FlameThrowers,23,25,4/2/2016,2016-04-02-SF-SD,FALSE,2016
Hustle,Nightwatch,26,16,4/2/2016,2016-04-02-NSH-ATL,FALSE,2016
Revolution,Mechanix,12,15,4/2/2016,2016-04-02-DET-CIN,FALSE,2016
Flyers,Express,23,18,4/2/2016,2016-04-02-CHA-RAL,FALSE,2016
